community,crimes_rate
1,0.004267873133920195
2,0.004237495965193652
3,0.0044503612297162225
4,0.004087725322612654
5,0.004944479417359071
6,0.007597395241793673
7,0.008106111723867798
8,0.010788930016862833
9,0.004273335820963832
10,0.004089761088452772
11,0.003896463646301005
12,0.00397585330994678
13,0.004061488129236956
14,0.004106902384127904
15,0.0040913097784383515
16,0.004157897736615521
17,0.004044428329745391
18,0.00437154724614419
19,0.004574821743942457
20,0.004731623510601011
21,0.004721167680927031
22,0.007668185340933461
23,0.007779942904601456
24,0.00852640668827125
25,0.008254637524780692
26,0.012809109353732123
27,0.011039621245962935
28,0.010159729897158697
29,0.01174829833885169
30,0.009735482174922346
31,0.008423625915474546
32,0.018510587078278178
33,0.008681354572384963
34,0.00854109517876592
35,0.008869566804266234
36,0.012160319137141601
37,0.018045733988735234
38,0.01236402529557532
39,0.01012150641627814
40,0.012968592657028941
41,0.009122899193388581
42,0.011183572065748461
43,0.010586667621049158
44,0.010554575238880457
45,0.01239480918340907
46,0.01174829833885169
47,0.012706885744682752
48,0.012604561389063965
49,0.0106569159104131
50,0.011476445137801727
51,0.011646075899709337
52,0.010063131000662525
53,0.012926885853648451
54,0.011630521838935363
55,0.011615956379559476
56,0.008530644742786118
57,0.0090481405390175
58,0.008168418466693098
59,0.007653376883074553
60,0.008941818496233675
61,0.00958705675159838
62,0.008907701669256507
63,0.005641523593054086
64,0.005281907047382314
65,0.008047638491525412
66,0.008299020039320048
67,0.009889278596707029
68,0.010802813556797115
69,0.012532378733107303
70,0.006112367002694038
71,0.008579716626801794
72,0.006247271480560356
73,0.010388881675010205
74,0.004740680919697491
75,0.0062376775247499645
76,0.00864843140675968
77,0.004072768669477042
